gene_id	gene_name	locus_id
AT1G07390	AtRLP1	RLOC_00000751
AT1G17240	AtRLP2	RLOC_00001936
AT1G17250	AtRLP3	RLOC_00001938
AT1G28340	AtRLP4	RLOC_00003180
AT1G34290	AtRLP5	RLOC_00003929
AT1G45616	AtRLP6	RLOC_00004890
AT1G47890	AtRLP7	RLOC_00005036
AT1G54480	AtRLP8	RLOC_00005845
AT1G58190	AtRLP9	RLOC_00006276
AT1G65380	AtRLP10	RLOC_00007073
AT1G71390	AtRLP11	RLOC_00007834
AT1G71400	AtRLP12	RLOC_00007835
AT1G74170	AtRLP13	RLOC_00008128
AT1G74180	AtRLP14	RLOC_00008129
AT1G74190	AtRLP15	RLOC_00008131
AT1G74200	AtRLP16	RLOC_00008132
AT1G80080	AtRLP17	RLOC_00008808
AT2G15040	AtRLP18	RLOC_00010704
AT2G15080	AtRLP19	RLOC_00010710
AT2G25440	AtRLP20	RLOC_00012019
AT2G25470	AtRLP21	RLOC_00012022
AT2G32660	AtRLP22	RLOC_00012867
AT2G32680	AtRLP23	RLOC_00012870
AT2G33020	AtRLP24	RLOC_00012912
AT2G33030	AtRLP25	RLOC_00012913
AT2G33050	AtRLP26	RLOC_00012916
AT2G33060	AtRLP27	RLOC_00012917
AT2G33080	AtRLP28	RLOC_00012918
AT2G42800	AtRLP29	RLOC_00014121
AT3G05360	AtRLP30	RLOC_00015273
AT3G05370	AtRLP31	RLOC_00015275
AT3G05650	AtRLP32	RLOC_00015310
AT3G05660	AtRLP33	RLOC_00015312
AT3G11010	AtRLP34	RLOC_00015902
AT3G11080	AtRLP35	RLOC_00015907
AT3G23010	AtRLP36	RLOC_00017407
AT3G23110	AtRLP37	RLOC_00017419
AT3G23120	AtRLP38	RLOC_00017421
AT3G24900	AtRLP39	RLOC_00017661
AT3G24982	AtRLP40	RLOC_00017664
AT3G25010	AtRLP41	RLOC_00017665
AT3G25020	AtRLP42	RLOC_00017668
AT3G28890	AtRLP43	RLOC_00018184
AT3G49750	AtRLP44	RLOC_00020159
AT3G53240	AtRLP45	RLOC_00020586
AT4G04220	AtRLP46	RLOC_00022422
AT4G13810	AtRLP47	RLOC_00023964
AT4G13880	AtRLP48	RLOC_00023972
AT4G13900	AtRLP49	RLOC_00023975
AT4G13920	AtRLP50	RLOC_00023979
AT4G18760	AtRLP51	RLOC_00024650
AT5G25910	AtRLP52	RLOC_00029950
AT5G27060	AtRLP53	RLOC_00030085
AT5G40170	AtRLP54	RLOC_00031696
AT5G45770	AtRLP55	RLOC_00032414
AT5G49290	AtRLP56	RLOC_00032836
AT5G65830	AtRLP57	RLOC_00034787
