Plant,experiment,spores,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,2,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
col0,1,0,
ksk1,1,16,
ksk1,1,20,
ksk1,1,8,
ksk1,1,0,
ksk1,1,14,
ksk1,1,10,
ksk1,1,19,
ksk1,1,7,
ksk1,1,19,
ksk1,1,11,
ksk1,1,7,
ksk1,1,0,
ksk1,1,10,
ksk1,1,8,
ksk1,1,3,
ksk1,1,1,
ksk1,1,9,
ksk1,1,15,
ksk1,1,5,
ksk1,1,7,
ksk1,1,6,
ksk1,1,1,
ksk1,1,6,
ksk1,1,5,
ksk1,1,8,
ksk1,1,11,
ksk1,1,10,
ksk1,1,0,
ksk1,1,7,
ksk1,1,4,
ksk1,1,9,
ksk1,1,6,
ksk1,1,0,
ksk1,1,0,
ksk1,1,0,
ksk1,1,3,
ksk1,1,0,
ksk1,1,7,
ksk1,1,6,
ksk1,1,4,
ksk1,1,9,
ksk1,1,4,
ksk1,1,6,
ksk1,1,3,
ksk1,1,3,
fpa8,1,0,
fpa8,1,1,
fpa8,1,2,
fpa8,1,13,
fpa8,1,10,
fpa8,1,3,
fpa8,1,1,
fpa8,1,1,
fpa8,1,2,
fpa8,1,0,
fpa8,1,1,
fpa8,1,0,
fpa8,1,0,
fpa8,1,1,
fpa8,1,0,
fpa8,1,3,
fpa8,1,0,
fpa8,1,0,
fpa8,1,5,
fpa8,1,0,
fpa8,1,0,
fpa8,1,4,
fpa8,1,5,
fpa8,1,2,
fpa8,1,0,
fpa8,1,1,
fpa8,1,6,
fpa8,1,0,
fpa8,1,6,
fpa8,1,0,
fpa8,1,0,
fpa8,1,0,
fpa8,1,0,
fpa8,1,0,
fpa8,1,3,
fpa8,1,0,
fpa8,1,0,
fpa8,1,2,
fpa8,1,0,
fpa8,1,0,
fpa8,1,0,
fpa8,1,0,
fpa8,1,2,
fpa8,1,0,
fpa8,1,0,
35SFPA,1,5,
35SFPA,1,9,
35SFPA,1,9,
35SFPA,1,7,
35SFPA,1,7,
35SFPA,1,5,
35SFPA,1,8,
35SFPA,1,3,
35SFPA,1,1,
35SFPA,1,0,
35SFPA,1,8,
35SFPA,1,4,
35SFPA,1,5,
35SFPA,1,7,
35SFPA,1,7,
35SFPA,1,0,
35SFPA,1,1,
35SFPA,1,0,
35SFPA,1,1,
35SFPA,1,1,
35SFPA,1,0,
35SFPA,1,2,
35SFPA,1,0,
35SFPA,1,1,
35SFPA,1,2,
35SFPA,1,0,
35SFPA,1,1,
35SFPA,1,2,
35SFPA,1,1,
35SFPA,1,0,
35SFPA,1,1,
35SFPA,1,7,
35SFPA,1,23,
35SFPA,1,5,
35SFPA,1,8,
35SFPA,1,4,
35SFPA,1,8,
35SFPA,1,4,
35SFPA,1,3,
35SFPA,1,3,
35SFPA,1,2,
35SFPA,1,2,
35SFPA,1,20,
35SFPA,1,3,
35SFPA,1,5,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,1,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,1,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
col0,2,0,
ksk1,2,17,
ksk1,2,4,
ksk1,2,6,
ksk1,2,7,
ksk1,2,9,
ksk1,2,4,
ksk1,2,0,
ksk1,2,1,
ksk1,2,7,
ksk1,2,11,
ksk1,2,8,
ksk1,2,4,
ksk1,2,3,
ksk1,2,5,
ksk1,2,1,
ksk1,2,12,
ksk1,2,5,
ksk1,2,1,
ksk1,2,1,
ksk1,2,5,
ksk1,2,4,
ksk1,2,5,
ksk1,2,4,
ksk1,2,3,
ksk1,2,4,
ksk1,2,6,
ksk1,2,11,
ksk1,2,3,
ksk1,2,0,
ksk1,2,11,
ksk1,2,2,
ksk1,2,1,
ksk1,2,2,
ksk1,2,13,
ksk1,2,5,
ksk1,2,7,
ksk1,2,0,
ksk1,2,2,
ksk1,2,4,
ksk1,2,0,
ksk1,2,4,
ksk1,2,4,
ksk1,2,4,
ksk1,2,0,
ksk1,2,0,
fpa8,2,0,
fpa8,2,2,
fpa8,2,0,
fpa8,2,1,
fpa8,2,0,
fpa8,2,0,
fpa8,2,3,
fpa8,2,1,
fpa8,2,1,
fpa8,2,4,
fpa8,2,0,
fpa8,2,0,
fpa8,2,1,
fpa8,2,1,
fpa8,2,2,
fpa8,2,4,
fpa8,2,8,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,1,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,2,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,0,
fpa8,2,3,
fpa8,2,2,
35SFPA,2,5,
35SFPA,2,6,
35SFPA,2,7,
35SFPA,2,8,
35SFPA,2,7,
35SFPA,2,0,
35SFPA,2,1,
35SFPA,2,4,
35SFPA,2,1,
35SFPA,2,1,
35SFPA,2,0,
35SFPA,2,3,
35SFPA,2,0,
35SFPA,2,4,
35SFPA,2,17,
35SFPA,2,3,
35SFPA,2,8,
35SFPA,2,10,
35SFPA,2,5,
35SFPA,2,4,
35SFPA,2,1,
35SFPA,2,1,
35SFPA,2,3,
35SFPA,2,1,
35SFPA,2,4,
35SFPA,2,1,
35SFPA,2,1,
35SFPA,2,0,
35SFPA,2,2,
35SFPA,2,1,
35SFPA,2,3,
35SFPA,2,1,
35SFPA,2,0,
35SFPA,2,0,
35SFPA,2,3,
35SFPA,2,7,
35SFPA,2,7,
35SFPA,2,7,
35SFPA,2,4,
35SFPA,2,1,
35SFPA,2,2,
35SFPA,2,5,
35SFPA,2,3,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,1,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,1,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,1,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,1,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
col0,3,0,
ksk1,3,15,
ksk1,3,13,
ksk1,3,9,
ksk1,3,0,
ksk1,3,0,
ksk1,3,21,
ksk1,3,18,
fpa8,3,0,
fpa8,3,21,
fpa8,3,5,
fpa8,3,3,
fpa8,3,1,
fpa8,3,0,
fpa8,3,9,
fpa8,3,0,
fpa8,3,0,
fpa8,3,1,
fpa8,3,1,
fpa8,3,5,
fpa8,3,1,
fpa8,3,0,
fpa8,3,0,
fpa8,3,9,
fpa8,3,0,
fpa8,3,1,
fpa8,3,0,
fpa8,3,5,
fpa8,3,0,
fpa8,3,1,
fpa8,3,5,
fpa8,3,0,
fpa8,3,0,
fpa8,3,0,
fpa8,3,0,
fpa8,3,1,
fpa8,3,0,
fpa8,3,0,
fpa8,3,0,
fpa8,3,1,
fpa8,3,0,
fpa8,3,1,
fpa8,3,0,
fpa8,3,2,
fpa8,3,2,
fpa8,3,0,
fpa8,3,0,
fpa8,3,1,
fpa8,3,2,
fpa8,3,0,
fpa8,3,0,
fpa8,3,0,
fpa8,3,19,
35SFPA,3,4,
35SFPA,3,13,
35SFPA,3,7,
35SFPA,3,17,
35SFPA,3,4,
35SFPA,3,1,
35SFPA,3,26,
35SFPA,3,12,
35SFPA,3,7,
35SFPA,3,12,
35SFPA,3,9,
35SFPA,3,5,
35SFPA,3,3,
35SFPA,3,9,
35SFPA,3,5,
35SFPA,3,4,
35SFPA,3,1,
35SFPA,3,14,
35SFPA,3,7,
35SFPA,3,2,
35SFPA,3,0,
35SFPA,3,5,
35SFPA,3,8,
35SFPA,3,1,
35SFPA,3,5,
35SFPA,3,2,
35SFPA,3,5,
35SFPA,3,3,
35SFPA,3,1,
35SFPA,3,1,
35SFPA,3,4,
35SFPA,3,1,
35SFPA,3,1,
35SFPA,3,1,
35SFPA,3,0,
35SFPA,3,3,
35SFPA,3,11,
35SFPA,3,0,
35SFPA,3,3,
35SFPA,3,15,
35SFPA,3,4,
35SFPA,3,2,
35SFPA,3,0,
35SFPA,3,7,
35SFPA,3,11,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,0,
fpa7,1,1,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,2,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,1,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,1,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
fpa7,3,0,
FPAc,1,1
FPAc,1,0
FPAc,1,9
FPAc,1,5
FPAc,1,0
FPAc,1,0
FPAc,1,2
FPAc,1,4
FPAc,1,0
FPAc,1,0
FPAc,1,7
FPAc,1,0
FPAc,1,4
FPAc,1,3
FPAc,1,2
FPAc,1,0
FPAc,1,0
FPAc,1,6
FPAc,1,0
FPAc,1,11
FPAc,1,0
FPAc,1,0
FPAc,1,0
FPAc,1,2
FPAc,1,1
FPAc,1,0
FPAc,1,0
FPAc,1,0
FPAc,1,2
FPAc,1,0
FPAc,1,0
FPAc,1,1
FPAc,1,8
FPAc,1,1
FPAc,1,0
FPAc,1,3
FPAc,2,1
FPAc,2,6
FPAc,2,0
FPAc,2,1
FPAc,2,0
FPAc,2,1
FPAc,2,2
FPAc,2,1
FPAc,2,1
FPAc,2,7
FPAc,2,6
FPAc,2,1
FPAc,2,0
FPAc,2,1
FPAc,2,1
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,1
FPAc,2,0
FPAc,2,2
FPAc,2,1
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,2
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,1
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,0
FPAc,2,3
FPAc,2,0
FPAc,3,4
FPAc,3,0
FPAc,3,3
FPAc,3,1
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,1
FPAc,3,0
FPAc,3,20
FPAc,3,0
FPAc,3,20
FPAc,3,0
FPAc,3,4
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,2
FPAc,3,1
FPAc,3,6
FPAc,3,0
FPAc,3,13
FPAc,3,1
FPAc,3,2
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,0
FPAc,3,1
FPAc,3,3
FPAc,3,0
FPAc,3,37
FPAc,3,0
FPAc,3,10
FPAc,3,7
FPAc,3,12
FPAc,3,0
